Date,Time,location_name,latitude,longitude,pm25,datetime,AQI
2025-01-07,9:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,43.03,2025-01-07 09:00:00,119.5
2025-01-07,10:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,30.69,2025-01-07 10:00:00,90.1
2025-01-07,11:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,26.61,2025-01-07 11:00:00,81.5
2025-01-07,12:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,30.72,2025-01-07 12:00:00,90.2
2025-01-07,13:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,37.65,2025-01-07 13:00:00,106.3
2025-01-07,14:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,70.33,2025-01-07 14:00:00,158.7
2025-01-07,15:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,26.19,2025-01-07 15:00:00,80.6
2025-01-07,16:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,20.19,2025-01-07 16:00:00,68.0
2025-01-07,17:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,11.09,2025-01-07 17:00:00,46.2
2025-01-07,18:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,12.91,2025-01-07 18:00:00,52.7
2025-01-07,19:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,12.41,2025-01-07 19:00:00,51.7
2025-01-07,20:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,11.19,2025-01-07 20:00:00,46.6
2025-01-07,21:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,12.86,2025-01-07 21:00:00,52.6
2025-01-07,22:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,11.53,2025-01-07 22:00:00,48.0
2025-01-07,23:00:00,"Country Lodge, Pasig [EMBNCR]",14.57,121.07,10.68,2025-01-07 23:00:00,44.5
