datetime,wind_dir,wind_speed,wind_dir_deg
2025-02-08 12:00:00,E,7.2,90.0
2025-02-08 15:00:00,NE,7.2,45.0
2025-02-08 18:00:00,CAL,0.0,
2025-02-08 21:00:00,NNE,3.6,22.5
2025-02-09 00:00:00,ENE,7.2,67.5
2025-02-09 00:00:00,ENE,7.2,67.5
2025-02-09 03:00:00,ENE,7.2,67.5
2025-02-09 06:00:00,NE,10.8,45.0
2025-02-09 09:00:00,NE,7.2,45.0
2025-02-09 12:00:00,NNE,7.2,22.5
2025-02-09 15:00:00,WNW,3.6,292.5
2025-02-09 18:00:00,CAL,0.0,
2025-02-09 21:00:00,E,3.6,90.0
2025-02-10 00:00:00,NE,7.2,45.0
2025-02-10 00:00:00,NE,7.2,45.0
2025-02-10 03:00:00,E,10.8,90.0
2025-02-10 06:00:00,NE,7.2,45.0
2025-02-10 09:00:00,NNE,3.6,22.5
2025-02-10 12:00:00,CAL,0.0,
2025-02-10 15:00:00,CAL,0.0,
2025-02-10 18:00:00,CAL,0.0,
2025-02-10 21:00:00,CAL,0.0,
2025-02-11 00:00:00,SE,3.6,135.0
2025-02-11 00:00:00,SE,3.6,135.0
2025-02-11 03:00:00,NE,3.6,45.0
2025-02-11 06:00:00,SSE,10.8,157.5
2025-02-11 09:00:00,SW,7.2,225.0
2025-02-11 12:00:00,SE,3.6,135.0
2025-02-11 15:00:00,CAL,0.0,
2025-02-11 18:00:00,CAL,0.0,
2025-02-11 21:00:00,CAL,0.0,
2025-02-12 00:00:00,NE,3.6,45.0
2025-02-12 00:00:00,NE,3.6,45.0
2025-02-12 03:00:00,SE,14.4,135.0
2025-02-12 06:00:00,SSE,10.8,157.5
2025-02-12 09:00:00,ESE,10.8,112.5
2025-02-12 12:00:00,ESE,7.2,112.5
2025-02-12 15:00:00,SW,3.6,225.0
2025-02-12 18:00:00,CAL,0.0,
2025-02-12 21:00:00,NE,3.6,45.0
2025-02-13 00:00:00,NE,3.6,45.0
2025-02-13 00:00:00,NE,3.6,45.0
2025-02-13 03:00:00,ENE,3.6,67.5
2025-02-13 06:00:00,NNE,10.8,22.5
2025-02-13 09:00:00,ESE,7.2,112.5
2025-02-13 12:00:00,CAL,0.0,
2025-02-13 15:00:00,ENE,3.6,67.5
2025-02-13 18:00:00,SE,3.6,135.0
2025-02-13 21:00:00,ENE,3.6,67.5
2025-02-14 00:00:00,SE,3.6,135.0
2025-02-14 00:00:00,SE,3.6,135.0
2025-02-14 03:00:00,E,3.6,90.0
2025-02-14 06:00:00,NNW,7.2,337.5
2025-02-14 09:00:00,N,3.6,0.0
2025-02-14 12:00:00,CAL,0.0,
2025-02-14 15:00:00,CAL,0.0,
2025-02-14 18:00:00,NE,3.6,45.0
2025-02-14 21:00:00,NE,3.6,45.0
2025-02-15 00:00:00,CAL,0.0,
2025-02-15 00:00:00,CAL,0.0,
2025-02-15 03:00:00,NE,3.6,45.0
2025-02-15 06:00:00,SE,7.2,135.0
2025-02-15 09:00:00,S,7.2,180.0
2025-02-15 12:00:00,E,3.6,90.0
2025-02-15 15:00:00,CAL,0.0,
2025-02-15 18:00:00,ENE,3.6,67.5
2025-02-15 21:00:00,SE,3.6,135.0
2025-02-16 00:00:00,CAL,0.0,
2025-02-16 00:00:00,CAL,0.0,
2025-02-16 03:00:00,N,7.2,0.0
2025-02-16 06:00:00,NNE,10.8,22.5
2025-02-16 09:00:00,NNE,3.6,22.5
2025-02-16 12:00:00,SSW,7.2,202.5
2025-02-16 15:00:00,ENE,3.6,67.5
2025-02-16 18:00:00,CAL,0.0,
2025-02-16 21:00:00,CAL,0.0,
2025-02-17 00:00:00,N,3.6,0.0
2025-02-17 00:00:00,N,3.6,0.0
2025-02-17 03:00:00,SSW,3.6,202.5
2025-02-17 06:00:00,NE,7.2,45.0
2025-02-17 09:00:00,N,3.6,0.0
2025-02-17 12:00:00,S,3.6,180.0
2025-02-17 15:00:00,CAL,0.0,
2025-02-17 18:00:00,CAL,0.0,
2025-02-17 21:00:00,CAL,0.0,
2025-02-18 00:00:00,CAL,0.0,
2025-02-18 00:00:00,CAL,0.0,
2025-02-18 03:00:00,N,3.6,0.0
2025-02-18 06:00:00,NW,3.6,315.0
2025-02-18 09:00:00,S,3.6,180.0
2025-02-18 12:00:00,CAL,0.0,
2025-02-18 15:00:00,CAL,0.0,
2025-02-18 18:00:00,CAL,0.0,
2025-02-18 21:00:00,ESE,3.6,112.5
2025-02-19 00:00:00,WNW,3.6,292.5
2025-02-19 00:00:00,WNW,3.6,292.5
2025-02-19 03:00:00,NNE,7.2,22.5
2025-02-19 06:00:00,SSE,10.8,157.5
2025-02-19 09:00:00,NNE,7.2,22.5
2025-02-19 12:00:00,CAL,0.0,
2025-02-19 15:00:00,N,3.6,0.0
2025-02-19 18:00:00,W,3.6,270.0
2025-02-19 21:00:00,CAL,0.0,
2025-02-20 00:00:00,NW,3.6,315.0
2025-02-20 00:00:00,NW,3.6,315.0
2025-02-20 03:00:00,SE,3.6,135.0
2025-02-20 06:00:00,SE,14.4,135.0
2025-02-20 09:00:00,SSW,10.8,202.5
2025-02-20 12:00:00,S,7.2,180.0
2025-02-20 15:00:00,E,3.6,90.0
2025-02-20 18:00:00,NE,3.6,45.0
2025-02-20 21:00:00,CAL,0.0,
2025-02-21 00:00:00,NNE,7.2,22.5
2025-02-21 00:00:00,NNE,7.2,22.5
2025-02-21 03:00:00,SE,10.8,135.0
2025-02-21 06:00:00,ESE,7.2,112.5
2025-02-21 09:00:00,SSE,10.8,157.5
2025-02-21 12:00:00,S,7.2,180.0
2025-02-21 15:00:00,S,3.6,180.0
2025-02-21 18:00:00,E,3.6,90.0
2025-02-21 21:00:00,N,3.6,0.0
2025-02-22 00:00:00,S,3.6,180.0
2025-02-22 00:00:00,S,3.6,180.0
2025-02-22 03:00:00,S,7.2,180.0
2025-02-22 06:00:00,SE,10.8,135.0
2025-02-22 09:00:00,SE,10.8,135.0
2025-02-22 12:00:00,SSE,7.2,157.5
2025-02-22 15:00:00,S,3.6,180.0
2025-02-22 18:00:00,CAL,0.0,
2025-02-22 21:00:00,CAL,0.0,
2025-02-23 00:00:00,CAL,0.0,
2025-02-23 00:00:00,CAL,0.0,
2025-02-23 03:00:00,N,7.2,0.0
